material_id,material_name,formula,crystal_structure,bandgap_energy_eV,is_direct_bandgap,conductivity_S_cm,mobility_cm2_Vs,carrier_concentration_cm3,thermal_conductivity_W_mK,breakdown_field_MV_cm,absorption_coefficient_cm1,refractive_index,max_operating_temp_C,thermal_stability,potential_applications
MOD-GaAs-0001,Modified Gallium Arsenide (epitaxial),GaAs,Zincblende,1.15,True,1318.36,1037.3,6.04e+19,32.67,0.17,5.79e+04,2.63,457.0,Medium,"Transistors, Photodetectors"
HYB-CdS-SiC-0002,Hybrid Cadmium Sulfide-Silicon Carbide,CdS-SiC,Wurtzite,3.051,True,377.92,470.85,1.49e+16,66.54,1.581,1.22e+04,4.41,1012.0,Very High,"LEDs, High Power Electronics, Transparent Conductors"
MOD-Graphene-0003,Graphene,C,Hexagonal,0.0,True,16112.5,14349.63,3.94e+18,427.61,0.0,1.25e+03,3.77,704.8,High,General semiconductor applications
HYB-CdTe-AlGaAs-0004,Hybrid Cadmium Telluride-Aluminium Gallium Arsenide,CdTe-AlGaAs,Zincblende,1.602,True,1450.57,1772.35,5.55e+15,99.48,0.355,2.66e+05,3.57,426.2,Medium,"Solar Cells, LEDs, Transistors, Photodetectors"
RAND-0005,NanoTecite,Pb2Al,Triclinic,1.338,True,85.27,3518.28,5.94e+20,188.95,7.437,4.80e+05,2.88,1131.5,Very High,"Solar Cells, Photodetectors"
RAND-0006,QuantumGadyne,Se1Pb2Ge2,Hexagonal,5.395,True,0.38,730.65,8.04e+17,148.35,4.022,1.37e+04,3.61,1037.7,Very High,General semiconductor applications
RAND-0007,NeoPblite,P,Triclinic,0.04,True,0.14,1045.07,1.02e+19,204.01,1.86,5.90e+04,2.23,1111.2,Very High,General semiconductor applications
MOD-ZnO-0008,Zinc Oxide,ZnO,Rocksalt,1.774,False,118.5,166.59,1.23e+19,321.13,0.504,1.02e+04,3.29,362.6,Medium,General semiconductor applications
MOD-TiO2-0009,Titanium Dioxide,TiO2,Brookite,4.368,True,0.03,0.04,1.47e+17,168.43,3.088,2.82e+03,2.16,385.3,Medium,General semiconductor applications
RAND-0010,MacroTimide,Ge3Ti,Amorphous,5.13,False,704.5,4762.88,3.32e+21,153.1,8.614,4.09e+03,2.03,1090.2,Very High,Transistors
RAND-0011,NanoAstron,TiSn3Te3,Hexagonal,3.522,False,0.03,2240.77,1.88e+16,279.47,9.021,2.44e+03,3.21,624.1,High,High Power Electronics
HYB-GaN-ZnO-0012,Hybrid Gallium Nitride-Zinc Oxide,GaN-ZnO,Wurtzite,3.379,False,497.23,611.69,2.49e+15,31.62,2.02,7.38e+04,1.92,793.7,High,"High Power Electronics, Transparent Conductors"
MOD-MAPbI3-0013,"High-performance Methylammonium Lead Iodide (nanostructured, heavily doped)",CH3NH3PbI3,Tetragonal,2.287,True,75.93,54.43,2.08e+16,41.23,0.745,1.66e+03,1.65,164.0,Low,General semiconductor applications
RAND-0014,PicoGephene,Al3SZn3,Orthorhombic,5.482,True,0.85,1490.34,1.79e+16,183.35,0.778,1.82e+04,1.53,918.5,Very High,General semiconductor applications
HYB-Ge-GaN-0015,Hybrid Germanium-Gallium Nitride,Ge-GaN,Wurtzite,2.627,True,1426.45,2118.68,2.35e+20,173.42,1.02,1.98e+03,3.55,532.1,High,"LEDs, High Power Electronics, Transistors"
RAND-0016,SynthSflux,CPbTe2,Triclinic,2.869,True,282.32,1045.27,9.41e+16,107.76,7.228,7.30e+04,4.35,965.0,Very High,"LEDs, High Power Electronics, Photodetectors"
MOD-GaAs-0017,"Custom Gallium Arsenide (strained, gradient-doped)",GaAs,Zincblende,1.969,True,2177.23,1898.5,3.19e+18,423.26,0.807,3.83e+05,4.15,573.4,High,"LEDs, Transistors, Photodetectors"
MOD-AlGaAs-0018,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.035,True,4266.89,4595.15,1.80e+16,121.63,0.137,1.94e+05,2.58,288.3,Low,"Transistors, Photodetectors"
MOD-GaN-0019,High-performance Gallium Nitride (co-doped),GaN,Wurtzite,4.911,True,2076.7,1892.18,8.59e+19,169.6,5.03,6.14e+03,2.25,1110.7,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0020,NeoAsdex,P1As2Cd1,Tetragonal,1.708,True,2.03,645.91,1.05e+21,215.2,9.569,8.50e+03,1.63,732.7,High,General semiconductor applications
RAND-0021,FlexAlphene,Pb1Ti,Cubic,2.391,True,189.17,4002.32,3.94e+21,378.1,0.807,5.83e+04,3.97,140.7,Low,"LEDs, Photodetectors"
MOD-CdS-0022,Cadmium Sulfide,CdS,Zincblende,1.889,True,17.73,23.56,9.49e+16,281.95,0.506,3.20e+04,2.18,739.9,High,General semiconductor applications
RAND-0023,NeoInzine,Ge,Triclinic,1.435,True,1.92,803.7,7.17e+20,303.88,1.841,1.75e+05,1.53,511.5,High,Photodetectors
MOD-Si-0024,Silicon,Si,Cubic (Diamond),1.565,False,1277.97,1214.12,1.85e+20,80.71,0.165,1.60e+04,2.15,931.5,Very High,Transistors
RAND-0025,MacroCdlite,SnAs3,Cubic,2.938,False,1.32,2768.52,7.93e+19,144.17,8.111,2.11e+04,3.21,118.4,Low,General semiconductor applications
RAND-0026,FlexBcite,TeAs3,Triclinic,2.576,True,53.24,4485.83,1.34e+19,79.09,3.497,6.00e+04,3.75,488.0,Medium,Photodetectors
RAND-0027,UltraPnium,SeSi1Zn2,Amorphous,1.76,True,5124.43,4594.78,3.32e+17,491.31,6.782,9.69e+03,3.31,1164.5,Very High,Transistors
MOD-AlGaAs-0028,Aluminium Gallium Arsenide,AlGaAs,Zincblende,2.12,False,3473.17,5854.41,1.44e+16,63.48,0.654,1.66e+04,4.44,409.2,Medium,Transistors
RAND-0029,FlexAsflux,C3In3P,Orthorhombic,0.902,False,4408.12,643.43,3.95e+17,382.2,3.539,6.11e+03,1.64,960.1,Very High,"Transistors, Thermoelectrics"
HYB-ZnO-Cu2O-0030,Hybrid Zinc Oxide-Copper(I) Oxide,ZnO-Cu2O,Wurtzite,2.522,False,76.83,110.84,3.58e+17,16.32,1.082,1.85e+04,1.84,619.0,High,High Power Electronics
MOD-GaAs-0031,Gallium Arsenide,GaAs,Zincblende,1.35,True,2075.77,2009.57,7.43e+15,18.34,0.315,6.45e+03,3.3,259.4,Low,Transistors
MOD-ZnO-0032,Modified Zinc Oxide (quantum-confined),ZnO,Zincblende,3.356,True,166.73,192.37,5.74e+17,56.86,1.144,1.38e+03,3.43,601.7,High,"LEDs, High Power Electronics, Transparent Conductors"
MOD-CdTe-0033,Cadmium Telluride,CdTe,Zincblende,0.807,True,158.76,201.04,8.92e+19,364.57,0.03,1.32e+03,3.65,646.4,High,General semiconductor applications
MOD-Si-0034,Silicon,Si,Amorphous,0.623,True,1275.32,1590.55,1.66e+18,107.3,0.02,6.10e+05,3.22,432.0,Medium,"Transistors, Photodetectors, Thermoelectrics"
RAND-0035,NovaAstron,TeS,Triclinic,4.005,True,0.99,4407.9,1.77e+20,330.72,3.016,3.78e+04,2.36,141.9,Low,General semiconductor applications
